movie_id,movie_title,genre_id,genre
8587,The Lion King,10751,Family
8587,The Lion King,16,Animation
8587,The Lion King,18,Drama
114,Pretty Woman,10749,Romance
114,Pretty Woman,35,Comedy
18989,Moll Flanders,18,Drama
18989,Moll Flanders,10749,Romance
77056,Rendezvous in Paris,10749,Romance
77056,Rendezvous in Paris,35,Comedy
1480,Touch of Evil,18,Drama
1480,Touch of Evil,53,Thriller
1480,Touch of Evil,80,Crime
10281,Friday the 13th Part VII: The New Blood,27,Horror
10281,Friday the 13th Part VII: The New Blood,53,Thriller
1618,Still Crazy,35,Comedy
1618,Still Crazy,10402,Music
14578,Outside Providence,10749,Romance
14578,Outside Providence,35,Comedy
14578,Outside Providence,18,Drama
1879,Guess Who's Coming to Dinner,35,Comedy
1879,Guess Who's Coming to Dinner,18,Drama
1879,Guess Who's Coming to Dinner,10749,Romance
18153,Steal This Movie,18,Drama
644,A.I. Artificial Intelligence,18,Drama
644,A.I. Artificial Intelligence,878,Science Fiction
644,A.I. Artificial Intelligence,12,Adventure
11444,The Closet,35,Comedy
87462,Relentless,9648,Mystery
87462,Relentless,53,Thriller
87462,Relentless,27,Horror
87462,Relentless,80,Crime
28213,A Tale of Springtime,35,Comedy
28213,A Tale of Springtime,18,Drama
28213,A Tale of Springtime,10749,Romance
27088,The Last American Virgin,35,Comedy
21801,The Slaughter Rule,18,Drama
18722,Mr. Baseball,35,Comedy
18722,Mr. Baseball,10749,Romance
26755,Brother's Keeper,99,Documentary
513,Fire,18,Drama
513,Fire,10749,Romance
10619,Once Upon a Time in China III,28,Action
17744,The Bedford Incident,28,Action
17744,The Bedford Incident,18,Drama
17744,The Bedford Incident,53,Thriller
17744,The Bedford Incident,10752,War
1786,Au Revoir les Enfants,18,Drama
1786,Au Revoir les Enfants,10752,War
71373,Black Rainbow,9648,Mystery
71373,Black Rainbow,53,Thriller
71373,Black Rainbow,14,Fantasy
71373,Black Rainbow,27,Horror
16765,Bukowski - Born into This,99,Documentary
10361,Ginger Snaps 2: Unleashed,18,Drama
10361,Ginger Snaps 2: Unleashed,27,Horror
12597,Hellraiser: Inferno,80,Crime
12597,Hellraiser: Inferno,27,Horror
12597,Hellraiser: Inferno,53,Thriller
12597,Hellraiser: Inferno,9648,Mystery
34090,Siberia,18,Drama
34090,Siberia,80,Crime
34090,Siberia,10749,Romance
34090,Siberia,10769,Foreign
55418,The Earth Is a Sinful Song,18,Drama
9951,The Dudesons Movie,28,Action
9951,The Dudesons Movie,35,Comedy
9951,The Dudesons Movie,10769,Foreign
43791,The Man Who Never Was,53,Thriller
43791,The Man Who Never Was,10752,War
43791,The Man Who Never Was,18,Drama
43791,The Man Who Never Was,36,History
6145,Fracture,53,Thriller
77621,Within Our Gates,18,Drama
77621,Within Our Gates,10749,Romance
17899,"Sex, Party and Lies",35,Comedy
17899,"Sex, Party and Lies",18,Drama
32395,The Greatest,18,Drama
42188,Never Let Me Go,18,Drama
42188,Never Let Me Go,10749,Romance
42188,Never Let Me Go,878,Science Fiction
87387,The Agony and Ecstasy of Phil Spector,99,Documentary
37710,The Tourist,28,Action
37710,The Tourist,53,Thriller
37710,The Tourist,10749,Romance
5562,Le Beau Serge,18,Drama
49517,Tinker Tailor Soldier Spy,18,Drama
49517,Tinker Tailor Soldier Spy,53,Thriller
49517,Tinker Tailor Soldier Spy,9648,Mystery
59006,Girl Walks Into a Bar,35,Comedy
95538,To Die Like a Man,18,Drama
95538,To Die Like a Man,10402,Music
72197,The Pirates! In an Adventure with Scientists!,16,Animation
72197,The Pirates! In an Adventure with Scientists!,12,Adventure
72197,The Pirates! In an Adventure with Scientists!,10751,Family
72197,The Pirates! In an Adventure with Scientists!,35,Comedy
99934,The Flying Fleet,12,Adventure
99934,The Flying Fleet,18,Drama
99934,The Flying Fleet,10749,Romance
86980,Once Upon A Time in Phuket,35,Comedy
94570,The Kiss,18,Drama
94570,The Kiss,10749,Romance
118624,Doomsday Book,878,Science Fiction
118624,Doomsday Book,14,Fantasy
118624,Doomsday Book,18,Drama
98066,The Babymakers,35,Comedy
117266,Craigslist Joe,12,Adventure
117266,Craigslist Joe,99,Documentary
39458,I Got Next,99,Documentary
186606,iSteve,35,Comedy
143567,Just Like Brothers,35,Comedy
65435,Consuming Kids: The Commercialization of Childhood,99,Documentary
91018,Linotype: The Film,99,Documentary
119278,Smiley,27,Horror
31214,Stay as You Are,10749,Romance
31214,Stay as You Are,18,Drama
127812,Arsène Lupin Returns,9648,Mystery
94590,Angry Video Game Nerd: The Movie,878,Science Fiction
94590,Angry Video Game Nerd: The Movie,12,Adventure
94590,Angry Video Game Nerd: The Movie,35,Comedy
110073,Rabbit,16,Animation
193726,ABCs of Death 2,27,Horror
256962,Little Boy,35,Comedy
256962,Little Boy,18,Drama
256962,Little Boy,10752,War
48412,Battle of the Coral Sea,10752,War
302348,Allies,28,Action
302348,Allies,10752,War
286192,Lava,16,Animation
286192,Lava,10751,Family
128311,Under the Bed,27,Horror
347096,Mythica: The Darkspore,28,Action
347096,Mythica: The Darkspore,12,Adventure
347096,Mythica: The Darkspore,14,Fantasy
331592,Listening,18,Drama
331592,Listening,53,Thriller
331592,Listening,878,Science Fiction
184440,Awaken,18,Drama
184440,Awaken,10749,Romance
184440,Awaken,878,Science Fiction
16079,The Visitors,27,Horror
325173,Close Range,28,Action
325173,Close Range,80,Crime
352024,A Gentle Spirit,16,Animation
220176,The Face Reader,18,Drama
220176,The Face Reader,36,History
48242,Hundra,12,Adventure
48242,Hundra,14,Fantasy
48242,Hundra,28,Action
48242,Hundra,878,Science Fiction
48242,Hundra,10769,Foreign
64404,Le révélateur,18,Drama
35749,Alice In Acidland,18,Drama
379508,Throbs at the Desk,10749,Romance
379508,Throbs at the Desk,35,Comedy
370902,The Land of OZ,35,Comedy
335498,The Penalty,18,Drama
335498,The Penalty,80,Crime
362478,The Preppie Connection,18,Drama
362478,The Preppie Connection,80,Crime
40471,For Y'ur Height Only,28,Action
40471,For Y'ur Height Only,35,Comedy
167548,The Shutka Book of Records,99,Documentary
37228,Anarchism in America,99,Documentary
10458,Soundless,28,Action
10458,Soundless,53,Thriller
10458,Soundless,80,Crime
251619,Kenau,12,Adventure
251619,Kenau,28,Action
251619,Kenau,36,History
53693,Krummerne,10751,Family
53693,Krummerne,35,Comedy
83944,Sketches of Kaitan City,18,Drama
108523,Children of the Dark,18,Drama
67592,The Little Whirlwind,16,Animation
67592,The Little Whirlwind,35,Comedy
324963,Monster High: Haunted,16,Animation
324963,Monster High: Haunted,10751,Family
324963,Monster High: Haunted,14,Fantasy
412363,The Wedding Plan,35,Comedy
412363,The Wedding Plan,10749,Romance
154727,Legend of the Galactic Heroes: Overture to a New War,16,Animation
154727,Legend of the Galactic Heroes: Overture to a New War,878,Science Fiction
404604,Mom,80,Crime
404604,Mom,18,Drama
404604,Mom,53,Thriller
